A1YK02	Analysis	1
A1Z6D7	Analysis	1
A1Z6D7	GO	0007314	oocyte anterior/posterior axis specification	IMP	Process
A1Z6D7	GO	0046843	dorsal appendage formation	IMP	Process
A1Z6D7	GO	0007242	intracellular signaling cascade	IEA	Process
A1Z6E0	Analysis	1
A1Z6E0	GO	0007314	oocyte anterior/posterior axis specification	IMP	Process
A1Z6E0	GO	0046843	dorsal appendage formation	IMP	Process
A1Z6E0	GO	0007242	intracellular signaling cascade	IEA	Process
A1Z6E2	Analysis	1
A1Z6E2	GO	0007314	oocyte anterior/posterior axis specification	IMP	Process
A1Z6E2	GO	0046843	dorsal appendage formation	IMP	Process
A1Z6E2	GO	0007242	intracellular signaling cascade	IEA	Process
A1Z6E6	Analysis	1
A1Z6E6	GO	0008270	zinc ion binding	IEA	Function
A1Z6E6	GO	0008270	zinc ion binding	IEA	Function
A1Z6E6	GO	0005515	protein binding	IEA	Function
A1Z6E6	GO	0005515	protein binding	IEA	Function
A1Z6E6	GO	0008270	zinc ion binding	IEA	Function
A1Z6E6	GO	0046872	metal ion binding	IEA	Function
A1Z6E6	GO	0008270	zinc ion binding	IEA	Function
A1Z6E6	GO	0007517	muscle organ development	IMP	Process
A1Z6E6	GO	0048813	dendrite morphogenesis	IMP	Process
A1Z6E8	Analysis	1
A1Z6F6	Analysis	1
A1Z6F6	GO	0008471	laccase activity	IEA	Function
A1Z6F6	GO	0005507	copper ion binding	IEA	Function
A1Z6F6	GO	0016491	oxidoreductase activity	IEA	Function
A1Z6F6	GO	0046872	metal ion binding	IEA	Function
A1Z6F6	GO	0055114	oxidation reduction	IEA	Process
A1Z6F6	GO	0016491	oxidoreductase activity	IEA	Function
A1Z6F6	GO	0055114	oxidation reduction	IEA	Process
A1Z6F6	GO	0055114	oxidation reduction	IEA	Process
A1Z6F6	GO	0016491	oxidoreductase activity	IEA	Function
A1Z6F6	GO	0005507	copper ion binding	IEA	Function
A1Z6F6	GO	0016491	oxidoreductase activity	IEA	Function
A1Z6F6	GO	0055114	oxidation reduction	IEA	Process
A1Z6F6	GO	0005507	copper ion binding	IEA	Function
A1Z6F6	GO	0055114	oxidation reduction	IEA	Process
A1Z6F6	GO	0005507	copper ion binding	IEA	Function
A1Z6G3	Analysis	1
A1Z6G3	GO	0007005	mitochondrion organization	IGI	Process
A1Z6G3	GO	0005488	binding	IEA	Function
A1Z6G4	Analysis	1
A1Z6H4	Analysis	1
A1Z6H4	GO	0007267	cell-cell signaling	IEA	Process
A1Z6I7	Analysis	1
A1Z6I7	GO	0000166	nucleotide binding	IEA	Function
A1Z6I7	GO	0004674	protein serine/threonine kinase activity	IEA	Function
A1Z6I7	GO	0005524	ATP binding	IEA	Function
A1Z6I7	GO	0016301	kinase activity	IEA	Function
A1Z6I7	GO	0016740	transferase activity	IEA	Function
A1Z6I7	GO	0005524	ATP binding	IEA	Function
A1Z6I7	GO	0004672	protein kinase activity	IEA	Function
A1Z6I7	GO	0006468	protein amino acid phosphorylation	IEA	Process
A1Z6I7	GO	0006468	protein amino acid phosphorylation	IEA	Process
A1Z6I7	GO	0007094	mitotic cell cycle spindle assembly checkpoint	TAS	Process
A1Z6I7	GO	0006468	protein amino acid phosphorylation	IEA	Process
A1Z6I7	GO	0031577	spindle checkpoint	IMP	Process
A1Z6I7	GO	0035186	syncytial blastoderm mitotic cell cycle	IMP	Process
A1Z6I7	GO	0000776	kinetochore	IDA	Component
A1Z6I7	GO	0000776	kinetochore	TAS	Component
A1Z6I7	GO	0000940	outer kinetochore of condensed chromosome	NAS	Component
A1Z6I7	GO	0004672	protein kinase activity	NAS	Function
A1Z6I7	GO	0005737	cytoplasm	IDA	Component
A1Z6I7	GO	0006468	protein amino acid phosphorylation	NAS	Process
A1Z6I7	GO	0007052	mitotic spindle organization	IMP	Process
A1Z6I7	GO	0007094	mitotic cell cycle spindle assembly checkpoint	IDA	Process
A1Z6I7	GO	0007094	mitotic cell cycle spindle assembly checkpoint	IMP	Process
A1Z6I7	GO	0004672	protein kinase activity	IEA	Function
A1Z6I7	GO	0007096	regulation of exit from mitosis	IGI	Process
A1Z6I7	GO	0004674	protein serine/threonine kinase activity	IEA	Function
A1Z6I7	GO	0005524	ATP binding	IEA	Function
A1Z6I7	GO	0005524	ATP binding	IEA	Function
A1Z6I7	GO	0004672	protein kinase activity	IEA	Function
A1Z6I7	GO	0006468	protein amino acid phosphorylation	IEA	Process
A1Z6J6	Analysis	1
A1Z6K0	Analysis	1
A1Z6K0	GO	0001522	pseudouridine synthesis	IEA	Process
A1Z6K0	GO	0006396	RNA processing	IEA	Process
A1Z6K0	GO	0009982	pseudouridine synthase activity	IEA	Function
A1Z6K0	GO	0009451	RNA modification	IEA	Process
A1Z6K0	GO	0003723	RNA binding	IEA	Function
A1Z6K2	Analysis	1
A1Z6M6	Analysis	1
A1Z6M6	GO	0005488	binding	IEA	Function
A1Z6M6	GO	0005634	nucleus	IDA	Component
A1Z6N5	Analysis	1
A1Z6N5	GO	0016491	oxidoreductase activity	IEA	Function
A1Z6N5	GO	0055114	oxidation reduction	IEA	Process
A1Z6N5	GO	0016491	oxidoreductase activity	IEA	Function
A1Z6P3	Analysis	1
A1Z6P3	GO	0000022	mitotic spindle elongation	IDA	Process
A1Z6P3	GO	0000022	mitotic spindle elongation	IMP	Process
A1Z6P3	GO	0051225	spindle assembly	IDA	Process
A1Z6P3	GO	0040001	establishment of mitotic spindle localization	TAS	Process
A1Z6P3	GO	0040001	establishment of mitotic spindle localization	NAS	Process
A1Z6P3	GO	0000022	mitotic spindle elongation	IMP	Process
A1Z6P3	GO	0005515	protein binding	IPI	Function
A1Z6P3	GO	0005515	protein binding	IPI	Function
A1Z6P3	GO	0005737	cytoplasm	IDA	Component
A1Z6P3	GO	0005874	microtubule	IDA	Component
A1Z6P3	GO	0005874	microtubule	IDA	Component
A1Z6P3	GO	0005875	microtubule associated complex	TAS	Component
A1Z6P3	GO	0005876	spindle microtubule	IDA	Component
A1Z6P3	GO	0005881	cytoplasmic microtubule	IDA	Component
A1Z6P3	GO	0007017	microtubule-based process	TAS	Process
A1Z6P3	GO	0007052	mitotic spindle organization	TAS	Process
A1Z6P3	GO	0007059	chromosome segregation	IDA	Process
A1Z6P3	GO	0007423	sensory organ development	IMP	Process
A1Z6P3	GO	0007626	locomotory behavior	IMP	Process
A1Z6P3	GO	0007629	flight behavior	IMP	Process
A1Z6P3	GO	0008017	microtubule binding	TAS	Function
A1Z6P3	GO	0030589	pseudocleavage during syncytial blastoderm formation	IMP	Process
A1Z6P3	GO	0008017	microtubule binding	IEA	Function
A1Z6P8	Analysis	1
A1Z6P8	GO	0051056	regulation of small GTPase mediated signal transduction	IEA	Process
A1Z6P8	GO	0005085	guanyl-nucleotide exchange factor activity	IEA	Function
A1Z6P8	GO	0005085	guanyl-nucleotide exchange factor activity	IEA	Function
A1Z6P8	GO	0007264	small GTPase mediated signal transduction	IEA	Process
A1Z6P8	GO	0008603	cAMP-dependent protein kinase regulator activity	IEA	Function
A1Z6P8	GO	0005622	intracellular	IEA	Component
A1Z6P8	GO	0007165	signal transduction	IEA	Process
A1Z6P8	GO	0007264	small GTPase mediated signal transduction	IEA	Process
A1Z6P8	GO	0005622	intracellular	IEA	Component
A1Z6P8	GO	0005622	intracellular	IEA	Component
A1Z6P8	GO	0005085	guanyl-nucleotide exchange factor activity	IEA	Function
A1Z6P8	GO	0001932	regulation of protein amino acid phosphorylation	IEA	Process
A1Z6P8	GO	0005952	cAMP-dependent protein kinase complex	IEA	Component
A1Z6P8	GO	0007242	intracellular signaling cascade	IEA	Process
A1Z6P8	GO	0004691	cAMP-dependent protein kinase activity	IEA	Function
A1Z6P8	GO	0016740	transferase activity	IEA	Function
A1Z6P8	GO	0007264	small GTPase mediated signal transduction	IEA	Process
A1Z6P8	GO	0005085	guanyl-nucleotide exchange factor activity	IEA	Function
A1Z6Q0	Analysis	1
A1Z6Q1	Analysis	1
A1Z6Q1	GO	0007097	nuclear migration	IMP	Process
A1Z6Q1	GO	0048471	perinuclear region of cytoplasm	IDA	Component
A1Z6Q2	Analysis	1
A1Z6Q2	GO	0007498	mesoderm development	IEP	Process
A1Z6R4	Analysis	1
