A0AVT1	O15198	mint	15231748
A0JLS5	Q92624	grid	16189514
A0N775	Q86U55	grid	14499622
A0PJ54	P40855	grid	11390669
A1KY36	Q9H7R2	grid	16189514
A1L3A3	Q86SE4	grid	12139915
A2A284	P11274	bind	1383690
A2A2Y6	P27540	bind	15231748
A2A8R7	Q96CG3	intact	16643855
A2AKM5	Q5STR5	grid	11799127
A2NHL9	Q6WWJ7	grid	12096920
A4D185	Q9UKJ5	grid	16189514
A4D1C5	P01215	bind	15231748
A4D1H7	O60568	intact	17353931
A4QPH2	Q92624	intact	16189514
A5J090	Q9Y4D1	mint	17476309
A6H8Y1	P06400	ophid	-
A6NDY6	Q5T7Y5	grid	12804600
A6NEW6	O76070	intact	17353931
A6NLP3	P62837	intact	-
A6NN38	Q09472	bind	15616592
A7E1Y8	O94762	intact	16169070
A7E2A2	Q9HBU4	grid	9539746
A7KAX9-2	P16333	bind	12819203
A7MD29	A6NF21	mint	-
A7XYQ1	Q5SZQ8	intact	16169070
A7Y3Z3	Q96SB4	mint	17360743
A8K0S3	P05412	bind	12167088
A8K1D9	P62993	bind	7523381
A8K2A7	Q13263-2	grid	11331580
A8K7N6	Q16520	grid	16189514
A8K8P3	P08727	intact	16189514
A8K927	Q8N6Y0	grid	16189514
A8K9D9	O00255-3	grid	11526476
A8MUB1	P61764	grid	12963086
A9UHW6	Q96SK3	ophid	-
B0QYN1	Q59FP4	grid	17353931
B0UX83	Q15714-2	grid	17353931
B0YJC5	P25786	mint	16189514
B1AKT6	Q5JY77	mint	16169070
B1AKU4	Q9BUX6	grid	8900189
B1AMS2	Q15019	mint	16189514
B1AMY1	Q9UKG1	mint	16189514
B1AP22	P49768-2	grid	12471034
B1APW6	B9EIQ5	bind	11274188
B1AQI6	P24941	grid	12185076
B2R4R1	P24941	grid	11069302
B2R5X0	Q14164	intact	17353931
B2R7P1	Q96H31	grid	18212250
B2R7W0	Q9UNM6	grid	17353931
B2R7Y8	Q9NPI3	grid	9571151
B2R8A6	P42858	bind	12604778
B2RDW1	P15374	bind	10406793
B2RE27	P04350	intact	14743216
B2RTX5	P08581	bind	15735664
B3KND3	P49715	bind	12805554
B3KNN6	Q16531	bind	14739464
B3KNT3	Q96T58	grid	11331609
B3KQ49	O75525	intact	19447967
B3KSH4	Q99496	intact	-
B3KSP0	Q8WX92	grid	12612062
B3KVA5	P47712	bind	10978317
B4DE68	Q59G03	grid	16189514
B4DST0	P06400	grid	11484059
B4DUA7	P52434	grid	15175163
B4E2B1	P42566	bind	9303539
B5B2N8	A8MU64	grid	12021260
B5BUH3	P35638	bind	12805554
B6ZGU3	Q8WX92	grid	15342491
B7Z7F9	O43293	grid	12242277
B7Z9C1	Q96J02	mint	15678106
B7ZBG9	Q9BWH2	mint	16169070
B7ZKZ8	O43929	bind	15232106
B7ZLY7	P20273-2	grid	8627166
B7ZM14	Q6IN77	grid	12896982
B8Y460	P62258	bind	10644344
B8YEG3	Q8WLS4	bind	8945469
B9A2Q4	P49590	bind	9445076
B9EIQ5	O14490-2	bind	9286858
O00141	Q15008	intact	17353931
O00159	Q99759	intact	14743216
O00161	Q15811	ophid	15657099
O00165	Q04206-2	intact	14743216
O00167	P19086	ophid	15657099
O00168	Q53RR5	grid	14597563
O00187	Q15485	ophid	15657099
O00198	Q92843	intact	15694340
O00203	Q8WUQ7	ophid	-
O00206	Q9H0E2	ophid	15657099
O00206-2	Q5FWG5	grid	11932926
O00212	P36897	ophid	-
O00213	Q92993	ophid	12888553
O00214	Q13137	intact	16189514
O00220	P02458	ophid	15657099
O00221	Q7Z2L2	intact	14743216
O00230	P32745	ophid	15657099
O00231	P35520	ophid	-
O00232	Q9NP81	ophid	-
O00233	P46459	ophid	-
O00238	P27037	ophid	15657099
O00244	P35670	bind	10557326
O00253	P32245	ophid	15657099
O00254	Q8NI35	mint	17235357
O00255	P17535	ophid	15657099
O00255-2	P17535	bind	10500243
O00257	Q06587	ophid	-
O00264	Q86Y56	intact	17353931
O00267	P61619	ophid	-
O00273	P31946	intact	17353931
O00303	Q53GS7	intact	18724935
O00308	Q15797	ophid	-
O00329	P16333	intact	17474147
O00334	Q7Z444	ophid	-
O00339	P02751	ophid	12180907
O00399	Q9ULT8	ophid	-
O00401	O75400	ophid	-
O00409	Q9UJX2	ophid	-
O00409-2	Q96B26	bind	15231747
O00410	P62826	grid	9114010
O00422	Q9UGY1	intact	16169070
O00429	Q8NC36	mint	16169070
O00442	Q5W0B1	intact	17353931
O00458	Q92963	intact	16169070
O00459	P36897	ophid	15657099
O00463	O94972	grid	11279055
O00470	P14653	ophid	15657099
O00482	O60869	intact	15657099
O00487	P25786	ophid	-
O00488	P52815	ophid	-
O00499	P62993	intact	17474147
O00512	Q9Y3Y4	ophid	-
O00515	Q9UMD9	ophid	-
O00541	P26641	ophid	-
O00560	O75385	grid	15014045
O00567	Q99880	ophid	-
O00571	P49841	intact	17353931
O00585	O00590	ophid	-
O00628	P40227	ophid	-
O00629	P19838	mint	14743216
O00716	P06400	mint	17380128
O00743	P04181	ophid	-
O08580	Q2YD86	intact	14701856
O08675	P84022	mint	12650946
O08795	P14314	bind	9148925
O08900	Q53XL2	grid	10357820
O08901	O43684	grid	11352911
O12161	O60563	mint	16135803
O13016	P56945	mint	12799422
O14490	P00519	intact	17474147
O14493	Q9H317	grid	10601346
O14497	Q15365	ophid	-
O14503	B0YJC5	mint	16169070
O14508	Q8N9D7	grid	16189514
O14513	P00519	intact	17474147
O14514	P78352	ophid	15657099
O14543	Q15369	ophid	-
O14544	P36897	ophid	-
O14556	P42858	ophid	15657099
O14561	O15269	ophid	-
O14576	Q9NP97	ophid	-
O14579	P84077	ophid	15657099
O14582	O43617	ophid	-
O14602	O60841	intact	12569173
O14604	Q01844	intact	16189514
O14607	Q04725	ophid	15657099
O14610	P62873	grid	8636150
O14639	P31947	mint	15778465
O14640	Q92995	intact	16169070
O14645	Q12929	intact	16169070
O14653	Q13190	ophid	-
O14662	O15498	ophid	-
O14682	P36897	ophid	-
O14717	Q5UIP0	intact	16169070
O14727	P49662	ophid	9539746
O14732	Q15011	intact	16169070
O14733	Q16584	ophid	-
O14734	Q9BQG2	ophid	-
O14735	P20333	intact	14743216
O14737	Q9NWS0	ophid	-
O14744	P40926	ophid	-
O14745	P07550	mint	15657099
O14757	P06400	mint	17380128
O14763	O15519	ophid	15657099
O14776	P42768	ophid	16055720
O14777	O95229	intact	16732327
O14790	Q5HYD4	grid	15235594
O14802	Q9P015	ophid	-
O14807	O43157	mint	-
O14815	Q9UI95	ophid	-
O14818	P48556	ophid	-
O14830	P62158	ophid	15657099
O14835	Q8TAI7	mint	16189514
O14836	Q7Z5J2	grid	10956646
O14841	Q9H300	ophid	-
O14867	Q02930	ophid	-
O14874	Q5W0B1	intact	17353931
O14908	Q9BYG5	ophid	-
O14910	Q8N3R9	ophid	-
O14920	O43524	bind	15084260
O14921	O94826	ophid	-
O14924	P05556	mint	15657099
O14929	Q14152	ophid	-
O14933	Q14258	ophid	12075357
O14936-2	Q9BZL6	bind	15231748
O14966	Q9UK45	intact	15231747
O14975	P09110	ophid	-
O14976	Q00610	ophid	12732633
O14977	Q86U55	grid	14499622
O14978	O95967	intact	16189514
O14981	P35998	ophid	-
O14983	O00631	ophid	-
O15018	Q4W5T8	grid	10896674
O15056	P06241	intact	17474147
O15062	Q5T4W8	grid	16169070
O15066	Q92845	ophid	9506951
O15067	P11940	ophid	-
O15085	P27986	intact	17474147
O15105	P36897	ophid	9215638
O15111	Q13748	intact	15657099
O15116	Q9H4L7	ophid	-
O15117	P16333	intact	17474147
O15126	O15127	grid	9224770
O15127	Q5T4W8	grid	16169070
O15145	O15144	grid	9230079
O15162	Q9BYR0	ophid	-
O15164	B6ZGU3	grid	9115274
O15169-2	O14640-2	grid	10428961
O15182	O15145	ophid	-
O15198	O15550	mint	15657099
O15212	Q99759	intact	14743216
O15213	P54198	ophid	-
O15230	Q5TEH5	grid	10956663
O15235	P58062	intact	12970870
O15255	P00519	intact	17474147
O15260	O15121	intact	17353931
O15264	Q86XL3	intact	18624398
O15269	Q9BUV8	intact	17353931
O15270	Q5VYK3	ophid	15657099
O15273	O14793	ophid	12209887
O15294	Q9H1M0	intact	16189514
O15305	P23528	ophid	-
O15318	Q9BT08	grid	9171375
O15344	B3KSH4	intact	-
O15350	P63244	bind	12761493
O15354	O60260	ophid	11439185
O15357	Q15811-2	mint	18692052
O15376	Q9UJM0	grid	9427749
O15379	Q9UKV0-7	intact	12590135
O15381	Q96Q25	ophid	-
O15400	P78347-2	grid	11278762
O15446	Q15653	intact	15657099
